ncsClCd,KECO,name
17030204,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030205,1541.0,화학공학 기술자 및 연구원
17030205,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030206,1541.0,화학공학 기술자 및 연구원
17030206,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030601,1541.0,화학공학 기술자 및 연구원
17030601,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030602,284.0,생산·품질 사무원
17030602,1541.0,화학공학 기술자 및 연구원
17030603,1541.0,화학공학 기술자 및 연구원
17030604,1221.0,생명과학 연구원
17030604,1222.0,생명과학 시험원
17030701,284.0,생산·품질 사무원
17030701,1541.0,화학공학 기술자 및 연구원
17030701,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030702,284.0,생산·품질 사무원
17030702,1541.0,화학공학 기술자 및 연구원
17030703,1541.0,화학공학 기술자 및 연구원
17040101,8522.0,플라스틱제품 생산기계 조작원
17040102,8522.0,플라스틱제품 생산기계 조작원
17040103,8522.0,플라스틱제품 생산기계 조작원
17040104,8522.0,플라스틱제품 생산기계 조작원
17040105,8522.0,플라스틱제품 생산기계 조작원
17040201,8521.0,타이어·고무제품 생산기계 조작원
17040202,8521.0,타이어·고무제품 생산기계 조작원
17050101,1221.0,생명과학 연구원
17050101,1222.0,생명과학 시험원
17050101,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17050102,1221.0,생명과학 연구원
17050102,1222.0,생명과학 시험원
17050103,1221.0,생명과학 연구원
17050103,1222.0,생명과학 시험원
17050105,1221.0,생명과학 연구원
17050105,1222.0,생명과학 시험원
17050106,1221.0,생명과학 연구원
17050106,1222.0,생명과학 시험원
17050107,284.0,생산·품질 사무원
17050107,1221.0,생명과학 연구원
17050107,1222.0,생명과학 시험원
17050107,1541.0,화학공학 기술자 및 연구원
17050201,1221.0,생명과학 연구원
17050201,1541.0,화학공학 기술자 및 연구원
17050202,1221.0,생명과학 연구원
17050202,1541.0,화학공학 기술자 및 연구원
17050203,1221.0,생명과학 연구원
17050203,1541.0,화학공학 기술자 및 연구원
17050301,1221.0,생명과학 연구원
17050301,1222.0,생명과학 시험원
17050302,1221.0,생명과학 연구원
17050302,1222.0,생명과학 시험원
18010101,8611.0,섬유 제조기계 조작원
18010102,8611.0,섬유 제조기계 조작원
18010103,8612.0,직조기·편직기 조작원
18010104,8612.0,직조기·편직기 조작원
18010105,8649.0,기타 직물·신발 기계 조작원 및 조립원
18010106,8611.0,섬유 제조기계 조작원
18010202,1562.0,섬유공학 시험원
18010202,8613.0,표백·염색기 조작원
18010301,284.0,생산·품질 사무원
18010301,1561.0,섬유공학 기술자 및 연구원
18010302,284.0,생산·품질 사무원
18010302,1561.0,섬유공학 기술자 및 연구원
18020101,243.0,상품 기획자
18020102,4152.0,패션 디자이너
18020103,8621.0,패턴사
18020104,4153.0,실내장식 디자이너
18020201,8622.0,재단사
18020201,8623.0,재봉사
18020201,8632.0,양장·양복 제조원
18020202,8622.0,재단사
18020202,8623.0,재봉사
18020202,8632.0,양장·양복 제조원
18020203,8633.0,모피·가죽의복 제조원
18020204,8629.0,기타 섬유·가죽 기능원
18020205,8631.0,한복 제조원
18020301,261.0,기획·마케팅 사무원
18020302,261.0,기획·마케팅 사무원
18020303,261.0,기획·마케팅 사무원
18020304,261.0,기획·마케팅 사무원
18020401,8642.0,신발 제조기계 조작원 및 조립원
18020402,243.0,상품 기획자
18020402,4152.0,패션 디자이너
18020402,8641.0,제화원
18030101,5615.0,세탁원(다림질원)
18030101,8643.0,세탁 기계 조작원
18030102,8634.0,의복·가죽·모피 수선원
19010101,1531.0,전기공학 기술자 및 연구원
19010102,1531.0,전기공학 기술자 및 연구원
19010103,1531.0,전기공학 기술자 및 연구원
19010201,8330.0,발전·배전 장치 조작원
19010202,8330.0,발전·배전 장치 조작원
19010203,8330.0,발전·배전 장치 조작원
19010204,8311.0,산업 전기공
19010205,8111.0,공업기계 설치·정비원
19010206,8311.0,산업 전기공
19010301,1531.0,전기공학 기술자 및 연구원
19010302,8313.0,외선 전기공
19010302,8330.0,발전·배전 장치 조작원
19010303,1531.0,전기공학 기술자 및 연구원
19010304,1531.0,전기공학 기술자 및 연구원
19010304,8360.0,전기·전자 부품·제품 조립원
19010305,1531.0,전기공학 기술자 및 연구원
19010305,8360.0,전기·전자 부품·제품 조립원
19010306,1531.0,전기공학 기술자 및 연구원
19010306,1533.0,전기·전자공학 시험원
19010307,1531.0,전기공학 기술자 및 연구원
19010308,1531.0,전기공학 기술자 및 연구원
19010401,1531.0,전기공학 기술자 및 연구원
19010401,8312.0,내선 전기공
19010401,8313.0,외선 전기공
19010401,8330.0,발전·배전 장치 조작원
19010402,1331.0,시스템 소프트웨어 개발자
19010402,1531.0,전기공학 기술자 및 연구원
19010501,1531.0,전기공학 기술자 및 연구원
19010502,8351.0,전기 부품·제품 생산기계 조작원
19010502,8360.0,전기·전자 부품·제품 조립원
19010503,8312.0,내선 전기공
19010504,8351.0,전기 부품·제품 생산기계 조작원
19010601,1531.0,전기공학 기술자 및 연구원
19010602,1531.0,전기공학 기술자 및 연구원
19010603,8340.0,전기·전자 설비 조작원
19010701,8312.0,내선 전기공
19010702,8313.0,외선 전기공
19010703,8313.0,외선 전기공
19010704,1531.0,전기공학 기술자 및 연구원
19010704,8312.0,내선 전기공
19010704,8313.0,외선 전기공
19010801,1531.0,전기공학 기술자 및 연구원
19010802,1531.0,전기공학 기술자 및 연구원
19010802,8351.0,전기 부품·제품 생산기계 조작원
19010802,8360.0,전기·전자 부품·제품 조립원
19010803,8311.0,산업 전기공
19010803,8312.0,내선 전기공
19010804,8150.0,자동조립라인·산업용로봇 조작원
19010804,8340.0,전기·전자 설비 조작원
19010901,1531.0,전기공학 기술자 및 연구원
19010902,8313.0,외선 전기공
19010903,8313.0,외선 전기공
19011001,1531.0,전기공학 기술자 및 연구원
19011002,8312.0,내선 전기공
19011003,8312.0,내선 전기공
